Comment,Designator,Footprint,LCSC
RESONATOR-16MHZSMD_3.2X1.3,Y1,Resonator_SMD_Murata_SFSKA-3Pin_7.9x3.8mm,
ATmega328-A,U1,TQFP-32_7x7mm_P0.8mm,
